rejuvenating serum,0,1
mosquito net,16.50815,Good
pain relief oil,35.3834,Good
canned ham,61.63046,Good
chocolate cake bar,85.20665,Good
soy sauce,106.9062,Good
vanilla cake bar,127.5906,Good
hazelnut with cocoa spread,144.1264,Good
frozen bangus,168.3235,Good
watermelon,198.5152,Good
cayenne pepper,224.0485,Good
fries,245.9143,Good
hazelnut with cocoa spread,0,2
breakfast cereal,21.45693,Good
nori,41.80903,Good
ramen,59.49564,Good
imported drinks,78.18531,Good
rice stick,91.2049,Good
frozen bangus,118.8834,Good
watermelon,144.43,Good
tacchino,162.6301,Good
cayenne pepper,185.5123,Good
pet shampoo,216.041,Good
air freshener,229.9069,Good
deodorant,251.7771,Good
pain relief oil,268.8375,Good
soy sauce,0,3
black roast coffee,19.46082,Good
mayonnaise,38.48195,Good
dishwashing liquid,69.49284,Good
air freshener,84.84615,Good
baby wipes,106.1988,Good
shampoo,127.5519,Good
cotton buds,147.0847,Good
milk tea,178.2785,Good
choco pie,200.8098,Good
garlic pack,227.6708,Good
frozen bangus,248.2221,Good
grapes,275.8567,Good
cotton buds,0,4
shampoo,15.12159,Good
tacchino,36.8137,Good
garlic pack,60.16322,Good
muffin,80.51418,Good
vanilla cake bar,94.86674,Good
prune juice,114.5542,Good
whole grain oats,127.9081,Good
pet shampoo,156.1655,Good
air freshener,170.0075,Good
grapes,0,5
watermelon,11.79273,Good
blueberries,24.84348,Good
chicken cutlet,47.86194,Good
mosquito net,84.53342,Good
pet shampoo,106.5503,Good
rejuvenating serum,125.2367,Good
liquid detergent,145.9594,Good
pain relief oil,164.8273,Good
shampoo,182.3615,Good
choco pie,205.8956,Good
misua,228.759,Good
cocoa powder,245.295,Good
vanilla cake bar,270.326,Good
fries,0,6
facial wash,43.16995,Good
mosquito net,59.16915,Good
air freshener,83.1852,Good
caramel latte mix,109.8652,Good
muffin,127.8862,Good
rice stick,152.4168,Good
imported drinks,167.9505,Good
nutella,191.1497,Good
cocoa powder,213.3509,Good
milk tea,0,7
canned ham,21.12429,Good
ramen,35.8101,Good
paper plates,63.15921,Good
whitening lotion,81.84488,Good
toilet papers,99.86721,Good
air freshener,115.8857,Good
facial wash,136.5716,Good
blueberries,166.0981,Good
cayenne pepper,191.2952,Good
onion,210.4991,Good
muffin,235.0293,Good
wheat sesame,254.2283,Good
bell pepper,0,8
yogurt juice,17.12338,Good
fries,37.4778,Good
frozen bangus,53.16563,Good
air freshener,87.84042,Good
facial wash,108.5286,Good
potato chips,130.5449,Good
mushrooms,153.4135,Good
seaweed,173.9459,Good
milk tea,193.4802,Good
oyster sauce,212.017,Good
muffin,231.8845,Good
wheat sesame,250.418,Good
caramel latte mix,264.3126,Good
toilet papers,0,9
facial wash,20.12429,Good
air freshener,42.80788,Good
mosquito net,68.1553,Good
breakfast cereal,104.161,Good
soy milk drink strawberry flavor,120.5186,Good
whole grain oats,135.818,Good
mayonnaise,160.1586,Good
prune juice,183.3484,Good
soy sauce,205.2153,Good
bell pepper,226.0795,Good
cloves,245.9479,Good
grapes,271.5562,Good
cocoa powder,287.1066,Good
rice stick,0,10
cocoa powder,16.78844,Good
cotton buds,34.91091,Good
choco pie,57.59203,Good
ramen,78.61042,Good
deodorant,103.9575,Good
pet shampoo,124.6418,Good
baby wipes,144.9667,Good
pain relief oil,163.1667,Good
garlic pack,195.3579,Good
bell pepper,213.8908,Good
prune juice,235.0894,Good
black roast coffee,251.6268,Good
muffin,267.6974,Good
dishwashing liquid,0,11
deodorant,23.45384,Good
shampoo,39.81053,Good
toilet papers,60.495,Good
white cheese,100.1668,Good
garlic pack,125.5161,Good
frozen bangus,145.2432,Good
blueberries,176.1042,Good
nori,195.3045,Good
chicken spread,220.5022,Good
choco pie,0,12
milk tea,24.12401,Good
imported drinks,38.47689,Good
blueberries,59.49548,Good
chicken cutlet,85.84354,Good
muffin,119.5192,Good
vanilla cake bar,134.1384,Good
hazelnut with cocoa spread,150.675,Good
air freshener,190.197,Good
